No,Barcode,HBM,Core,Channel,Bank,Failed_Test,failed_address,failed_address_count,Fail_mode,CDC-SID0,CDC-SID1,CDC-SID2,PFA,Report,Status,Defect_type_Log,Defect_location_Log,Defect_type_PFA,Defect_location_PFA,Assessment
71,TZNBVV75ML413LS10007,D,7,J1,K1,March & Scan,[0x2edd],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
72,TZNBVV75ML413LS10007,D,7,J1,M1,March & Scan,"[0x3ff2, 0xf20]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
73,TZNBVV75ML413LS10007,D,7,J1,N1,March,[0x3c27],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
74,TZNBVW02M0413LS10028,F,12,N0,J0,Scan,[0x41d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
75,TZNBVW02M8415LS10025,F,5,B1,B1,Scan,[0x173d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
76,TZNBVW13M9415LS10026,H,6,H0,E0,Scan,[0x2190],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
77,TZNBXH74LS416LS10020,F,12,M0,C0,Scan,[0x3d07],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
78,TZNBXH74LS416LS10020,F,12,O0,H0,Scan,[0x28dd],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
79,TZNBYA10LL415LS10030,B,11,J0,B0,Scan,[0xe67],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
80,TZNBYA10LL415LS10030,B,11,L0,A0,Scan,[0x3d00],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
81,TZNBYA10LL415LS10030,F,11,K0,G0,Scan,[0x3465],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
82,TZNBYA12LJ416LS10012,H,12,M1,C1,Scan,[0x2ca5],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
83,TZNBYA12LJ416LS10012,H,12,O0,O0,Scan,[0x49f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
84,TZNBYA12LJ416LS10012,H,12,P0,L0,Scan,[0x1301],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
85,TZNBYA12LJ416LS10012,H,12,P1,L1,Scan,[0xe05],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
86,TZNBYA12LJ416LS10013,G,3,I0,J0,Scan,[0x18bb],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
87,TZNBYA34LH416LS10015,E,10,G1,A1,Scan,[0x3381],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
88,TZNBVV47LM416LS10009,G,3,I0,A0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
89,TZNBVV47LM416LS10009,G,3,I0,B0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
90,TZNBVV47LM416LS10009,G,3,I0,C0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
91,TZNBVV47LM416LS10009,G,3,I0,D0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
92,TZNBVV47LM416LS10009,G,3,I0,E0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
93,TZNBVV47LM416LS10009,G,3,I0,F0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
94,TZNBVV47LM416LS10009,G,3,I0,G0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
95,TZNBVV47LM416LS10009,G,3,I0,H0,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
96,TZNBVV47LM416LS10009,G,3,J1,A1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
97,TZNBVV47LM416LS10009,G,3,J1,B1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
98,TZNBVV47LM416LS10009,G,3,J1,C1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
99,TZNBVV47LM416LS10009,G,3,J1,D1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
100,TZNBVV47LM416LS10009,G,3,J1,E1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
101,TZNBVV47LM416LS10009,G,3,J1,F1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
102,TZNBVV47LM416LS10009,G,3,J1,G1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
103,TZNBVV47LM416LS10009,G,3,J1,H1,March & Scan,"[0x1ffe, 0x3ffe]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\D_TCK20,,Functional,,,,
104,TZNBYA07LH416TS10029,B,5,A0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Die edge crack,Left_2,,,
105,TZNBYA07LH416TS10029,B,12,M0,H0,Scan,[0x381f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
106,TZNBYA07LH416TS10029,B,12,N1,B1,Scan,[0x272b],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
107,TZNBYA43L9416TS10023,C,7,I0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Die edge crack,Left_2,,,
108,TZNBYA43L9416TS10023,C,7,J0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Die edge crack,Left_2,,,
109,TZNBYA43LC416TS10011,B,4,O0,I0,March & Scan,"[0x3850, 0x31d9, 0xafe]",3,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
110,TZNBYA43LC416TS10011,B,4,O0,L0,March,[0x13f9],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
111,TZNBYA43LC416TS10011,B,4,O1,L1,March & Scan,[0x2897],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
112,TZNBYA43LC416TS10011,B,4,P0,I0,March & Scan,[0x1845],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
113,TZNBYA43LC416TS10011,B,4,P1,I1,March & Scan,[0x3b6e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
114,TZNBYA43LC416TS10011,B,4,P1,J1,March & Scan,[0x2f65],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
115,TZNBYA43LC416TS10011,B,4,P1,K1,March & Scan,[0xd2f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
116,TZNBYA43LC416TS10011,B,11,K1,P1,Scan,[0x64d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Functional,,,,
117,TZNBYA52LV416LS10030,E,5,C0,A0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Die edge crack,Right_1,,,
118,TZNBYA52LV416LS10030,E,5,D0,A0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T208,,Die edge crack,Right_1,,,
119,TZNBYA07LH416TS10029,B,5,A0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Die edge crack,Left_2,,,
120,TZNBYA43L9416TS10023,C,7,I0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Die edge crack,Left_2,,,
121,TZNBYA43L9416TS10023,C,7,J0,I0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Die edge crack,Left_2,,,
122,TZNBYA43LC416TS10011,B,4,O0,I0,March & Scan,"[0x3850, 0x31d9, 0xafe, 0x3cce]",4,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
123,TZNBYA43LC416TS10011,B,4,O0,J0,Scan,[0x22f1],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
124,TZNBYA43LC416TS10011,B,4,O0,L0,March & Scan,[0x13f9],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
125,TZNBYA43LC416TS10011,B,4,O1,L1,March & Scan,[0x2897],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
126,TZNBYA43LC416TS10011,B,4,P0,I0,March & Scan,[0x1845],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
